Demand_Time	Vehicle_Type	产生地	目的地	SOC
5.777948	P	151	65	0.15
12.241935	P	97	69	0.22
5.549152	P	77	59	0.24
6.820416	P	168	72	0.22
6.344730	P	44	87	0.29
11.035893	P	144	55	0.16
9.775783	P	119	199	0.18
6.871113	P	12	28	0.21
6.437821	P	202	142	0.30
8.592707	W	164	178	0.21
8.688958	P	181	190	0.20
8.017603	P	89	25	0.18
6.136116	P	87	116	0.30
7.963416	P	88	103	0.19
9.573535	P	9	78	0.30
8.554523	P	186	213	0.13
5.667673	P	194	200	0.26
9.410339	P	74	127	0.29
4.386893	P	202	119	0.25
10.339708	P	179	19	0.30
8.562163	P	207	110	0.27
6.218509	P	205	149	0.13
9.413613	P	31	185	0.21
8.221001	P	80	108	0.22
7.622058	P	35	187	0.10
7.795561	P	188	115	0.23
9.572959	P	11	176	0.26
6.239971	P	48	81	0.15
9.013172	P	57	133	0.24
7.346395	P	166	136	0.30
8.491914	P	104	177	0.16
4.327032	P	76	88	0.30
9.068642	P	54	63	0.30
8.487797	P	146	112	0.17
8.239373	P	30	186	0.14
7.977354	P	73	212	0.30
9.471400	W	160	215	0.26
4.072121	P	95	201	0.10
9.352864	P	209	85	0.26
10.118408	P	29	37	0.27
9.652984	P	124	135	0.30
10.310614	P	130	63	0.24
8.642711	P	171	34	0.21
7.707238	P	100	149	0.14
11.761221	P	35	169	0.25
6.970921	P	29	128	0.18
7.589792	P	155	103	0.30
6.135476	P	171	64	0.23
9.290075	P	60	102	0.23
9.638581	P	82	107	0.22
10.946174	P	34	161	0.19
8.115012	W	59	11	0.18
6.736943	P	193	69	0.15
8.828434	P	150	210	0.17
5.999553	P	88	105	0.23
9.481083	P	170	110	0.23
9.298856	P	137	25	0.20
7.274583	P	28	154	0.29
8.685757	P	200	33	0.23
7.200763	P	97	65	0.23
8.249644	P	141	126	0.18
8.356168	P	14	188	0.15
8.783185	W	63	103	0.23
7.367829	P	135	187	0.12
8.144238	P	75	208	0.10
8.902943	P	208	195	0.14
5.901629	P	186	214	0.17
9.654230	W	96	184	0.12
9.910542	P	197	31	0.24
8.809035	P	177	14	0.18
7.465974	P	122	200	0.21
8.242379	P	100	206	0.29
4.483248	P	96	6	0.25
9.666768	P	166	214	0.29
7.952555	P	100	187	0.26
8.955479	P	37	55	0.23
8.809319	P	132	60	0.18
6.435197	P	200	129	0.24
8.252004	P	71	77	0.13
7.954369	P	83	171	0.27
11.776300	W	119	48	0.27
4.648212	P	173	54	0.18
10.237764	P	110	94	0.22
9.255853	P	54	171	0.18
10.184979	P	181	94	0.30
9.328677	P	168	50	0.26
10.156477	P	22	121	0.28
7.189678	P	182	157	0.29
9.753052	P	135	107	0.26
8.253616	P	30	4	0.30
11.531794	W	160	65	0.26
12.114777	P	33	36	0.11
10.644591	P	206	203	0.14
7.355020	P	34	12	0.27
8.377394	P	36	52	0.16
8.305733	P	183	67	0.17
11.069663	P	198	157	0.10
8.434709	P	202	159	0.23
5.291920	P	212	28	0.10
10.135250	P	50	119	0.22
3.768088	P	157	77	0.25
6.469619	P	19	90	0.29
6.512047	P	122	160	0.15
9.269519	P	50	169	0.23
11.903400	P	70	41	0.29
8.898752	P	198	90	0.14
6.715065	P	193	209	0.25
8.731501	P	49	211	0.30
9.377867	W	154	69	0.11
7.559191	P	89	100	0.27
9.663308	P	72	124	0.19
8.352993	W	28	97	0.14
7.242165	P	205	77	0.14
7.666426	P	23	102	0.23
8.964824	P	215	41	0.30
7.328217	P	16	117	0.16
7.653927	W	92	123	0.25
8.211248	P	176	212	0.19
9.800321	P	177	181	0.18
5.646505	P	176	128	0.12
6.488770	P	13	18	0.30
11.012909	P	19	180	0.30
10.405298	P	161	52	0.22
6.550523	P	141	114	0.10
10.535960	P	19	160	0.23
9.177474	P	15	154	0.27
5.364969	P	99	180	0.27
11.452565	P	88	31	0.10
7.469926	P	132	62	0.27
8.680833	P	27	4	0.24
7.568734	P	61	89	0.12
8.385895	P	145	40	0.15
6.832233	P	209	212	0.20
10.203450	P	18	129	0.22
6.018717	P	26	94	0.25
8.434432	P	95	111	0.20
6.785348	P	104	124	0.19
7.306205	P	17	7	0.23
7.821349	P	11	103	0.10
9.088930	P	45	54	0.17
6.646524	P	105	98	0.28
7.902247	W	51	6	0.28
11.053807	P	141	139	0.17
5.123584	P	172	113	0.30
9.464815	P	206	20	0.17
8.905034	P	199	21	0.25
7.730283	P	197	180	0.30
7.413315	P	210	189	0.12
7.153141	P	205	55	0.13
9.117420	P	204	103	0.19
8.279894	P	2	146	0.25
10.405202	P	34	41	0.15
8.532543	P	138	51	0.18
8.064865	P	30	197	0.25
9.984460	W	78	142	0.24
10.124293	P	48	10	0.26
7.631165	P	174	48	0.15
5.992978	P	16	105	0.26
9.631579	P	145	87	0.28
9.262491	P	181	21	0.26
8.448670	P	81	34	0.13
6.198569	P	122	114	0.14
9.090142	P	98	67	0.24
6.384047	P	207	29	0.21
6.921766	P	91	142	0.25
9.291758	P	45	9	0.11
7.016056	P	73	158	0.30
8.192939	P	45	207	0.26
9.336929	P	119	115	0.27
10.699373	P	83	159	0.18
7.069713	P	85	163	0.13
8.096968	P	148	140	0.24
10.835521	P	153	165	0.23
6.758300	P	111	88	0.27
9.654621	P	101	36	0.21
8.297589	P	188	132	0.12
9.014853	P	209	91	0.12
8.403724	P	57	54	0.22
5.395517	P	172	66	0.28
9.091043	P	165	63	0.15
6.094297	W	186	181	0.23
8.145110	P	62	185	0.12
8.516151	P	65	69	0.24
11.165711	P	203	142	0.27
9.081023	P	54	16	0.29
8.017702	P	203	103	0.16
6.481060	P	6	75	0.16
7.127603	P	210	111	0.22
7.432754	P	201	19	0.30
11.827247	P	41	116	0.27
5.894798	P	186	42	0.17
8.339410	P	170	121	0.17
10.943439	P	95	208	0.29
7.612591	P	22	65	0.24
6.563836	P	143	172	0.21
5.649292	P	114	57	0.22
7.025751	P	23	208	0.21
7.053337	P	2	19	0.26
11.291178	P	194	93	0.17
7.042587	P	147	13	0.18
6.567098	P	132	113	0.15
11.080801	P	61	36	0.20
8.894872	P	103	183	0.24
5.660183	W	69	13	0.10
6.862873	P	23	189	0.17
8.815024	P	89	193	0.29
7.126702	P	78	80	0.17
4.728828	P	80	76	0.23
10.005915	P	114	172	0.30
8.802211	P	104	2	0.21
6.245567	P	79	60	0.27
9.499661	P	156	50	0.21
5.816060	P	172	126	0.30
6.606204	P	83	17	0.23
7.835021	P	33	89	0.22
8.143782	P	125	119	0.14
7.028691	P	206	168	0.21
10.567375	P	3	172	0.23
11.680274	P	53	2	0.17
8.669468	P	61	83	0.13
9.683718	P	111	121	0.18
8.487580	P	202	166	0.18
9.123514	P	154	97	0.13
6.054747	P	171	53	0.24
8.299123	P	57	184	0.20
10.879346	P	129	206	0.16
8.675044	P	160	140	0.18
7.108924	P	100	15	0.10
10.800070	P	206	12	0.11
9.246234	P	64	85	0.22
9.076183	P	102	23	0.30
6.995181	P	108	127	0.26
8.804528	P	180	199	0.28
8.180812	P	114	207	0.23
7.005244	P	189	52	0.16
10.342412	P	5	163	0.24
6.606212	P	174	12	0.14
7.133601	P	51	10	0.20
10.202574	P	143	4	0.12
8.502386	P	36	85	0.21
8.929095	P	41	171	0.15
11.201361	P	12	22	0.20
10.036886	P	59	37	0.16
10.277100	P	80	20	0.30
10.306069	P	66	158	0.15
6.100478	W	139	25	0.17
5.027272	P	169	112	0.15
6.349481	P	92	105	0.13
6.969144	P	160	73	0.27
7.759899	P	210	167	0.21
7.834640	P	36	202	0.18
8.606835	P	25	144	0.29
4.788053	P	39	137	0.22
8.255530	P	5	29	0.25
5.731445	P	118	189	0.23
8.387813	P	121	179	0.22
9.951415	P	208	5	0.26
8.043793	P	123	51	0.21
8.058446	W	161	112	0.18
9.185936	P	12	148	0.28
10.729196	P	211	46	0.30
8.430253	P	166	98	0.15
7.546019	P	51	89	0.15
7.397176	P	94	157	0.20
11.698526	P	84	65	0.18
8.866069	P	87	159	0.12
10.493957	P	69	85	0.19
9.271730	P	197	132	0.28
9.765248	P	119	89	0.18
7.695991	P	75	214	0.13
8.321550	P	63	30	0.19
8.049497	P	172	188	0.26
7.503195	P	149	107	0.12
13.244284	P	213	100	0.27
10.468338	P	31	65	0.12
10.422881	P	56	183	0.10
5.160283	P	10	203	0.20
6.954357	P	29	36	0.16
9.631622	P	86	93	0.30
5.242894	P	54	53	0.17
8.832917	P	43	97	0.26
8.722269	P	49	52	0.19
6.382596	P	215	206	0.24
7.336915	P	14	96	0.20
5.860602	W	120	133	0.30
10.152029	W	9	207	0.22
5.835412	P	88	165	0.27
10.337553	P	107	68	0.19
5.025387	P	103	161	0.11
10.411327	P	60	41	0.21
9.807207	P	66	5	0.18
5.679695	P	149	145	0.24
8.835424	P	141	95	0.12
9.706709	P	134	18	0.12
7.757465	P	68	125	0.15
6.275086	P	74	163	0.17
5.576531	W	181	108	0.25
8.298959	P	98	189	0.17
6.044499	P	146	15	0.21
8.659091	P	108	121	0.24
10.822151	P	19	3	0.25
11.383988	W	2	102	0.24
6.452220	P	17	170	0.27
8.442691	P	159	169	0.12
6.413960	P	106	70	0.10
8.594758	P	11	60	0.26
7.921508	P	81	176	0.27
9.806603	P	40	45	0.26
6.650616	P	142	159	0.26
8.354197	P	51	26	0.12
9.541859	P	24	166	0.27
8.249129	P	125	100	0.15
8.131900	P	122	177	0.14
8.467453	P	144	209	0.10
8.598432	P	43	123	0.24
8.540081	P	12	118	0.16
7.475589	P	75	93	0.18
5.830015	P	27	181	0.19
8.731434	P	140	28	0.25
9.645091	P	8	27	0.30
7.358640	P	209	9	0.11
